csk01,Faf du Plessis,Batsman,320,0,145,64.000000
csk02,Moeen Ali,Batsman,206,5,157,34.000000
csk03,Ruturaj Gaikwad,Batsman,196,0,129,28.000000
csk04,Ambati Rayudu,Batsman,136,0,200,34.000000
csk05,Suresh Raina,Batsman,123,0,127,25.000000
csk06,Ravindra Jadega,Batsman,131,6,162,131.000000
csk07,Lungi Ngidi,Bowler,0,5,14,25.000000
csk08,Deepak Chahar,Bowler,0,8,18,24.000000
csk09,Sam Curran,Bowler,52,9,18,24.000000
csk10,Shardul Thakur,Bowler,0,5,31,53.000000
csk11,Dwayne Bravo,Bowler,20,3,22,28.000000
dc01,Shikhar Dhawan,Batsman,380,0,134,54.000000
dc02,Steve Smith,Batsman,104,0,112,26.000000
dc03,Marcus Stoinis,Batsman,71,2,145,24.000000
dc04,Rishabh Pant,Batsman,213,0,131,36.000000
dc05,Prithvi Shaw,Batsman,308,0,166,39.000000
dc06,Lalit Yadav,Batsman,54,3,98,54.000000
dc07,Kagiso Rabada,Bowler,9,8,20,29.000000
dc08,Avesh Khan,Bowler,0,14,13,17.000000
dc09,Ravichandran Ashwin,Bowler,7,1,114,147.000000
dc10,Chris Woakes,Bowler,15,5,13,16.000000
dc11,Amit Mishra,Bowler,0,6,14,18.000000
kkr01,Shubhman Gill,Batsman,132,0,118,19.000000
kkr02,Pat Cummins,Batsman,93,9,166,31.000000
kkr03,Nitish Rana,Batsman,201,0,123,29.000000
kkr04,Rahul Tripathi,Batsman,187,0,136,27.000000
kkr05,Dinesh Karthik,Batsman,123,0,138,31.000000
kkr06,Andre Russell,Batsman,163,7,155,27.000000
kkr07,Shakib Al Hasan,Bowler,38,2,30,41.000000
kkr08,Varun Chakaravarthy,Bowler,0,7,24,31.000000
kkr09,Shivam Mavi,Bowler,5,2,27,29.000000
kkr10,Sunil Narine,Bowler,10,3,32,37.000000
kkr11,Prasidh Krishna,Bowler,0,8,20,30.000000
mi01,Rohit Sharma,Batsman,250,0,128,36.000000
mi02,Quinton de Kock,Batsman,155,0,117,31.000000
mi03,Suryakumar Yadav,Batsman,173,0,144,25.000000
mi04,Ishan Kishan,Batsman,73,0,83,15.000000
mi05,Chris Lynn,Batsman,49,0,140,49.000000
mi06,Kieron Pollard,Batsman,168,3,171,56.000000
mi07,Krunal Pandya,Bowler,100,3,34,43.000000
mi08,Marco Jansen,Bowler,0,2,18,23.000000
mi09,Rahul Chahar,Bowler,14,11,15,18.000000
mi10,Trent Boult,Bowler,0,8,20,28.000000
mi11,Jasprit Bumrah,Bowler,4,6,27,32.000000
pbks01,KL Rahul,Batsman,331,0,136,66.000000
pbks02,Mayank Agarwal,Batsman,260,0,141,43.000000
pbks03,Chris Gayle,Batsman,178,0,134,25.000000
pbks04,Deepak Hooda,Batsman,116,2,143,19.000000
pbks05,Jhye Richardson,Batsman,15,3,63,8.000000
pbks06,Shahrukh Khan,Batsman,107,0,127,21.000000
pbks07,Riley Meredith,Bowler,0,4,26,42.000000
pbks08,Ravi Bishnoi,Bowler,0,4,11,10.000000
pbks09,Fabian Allen,Bowler,6,1,42,52.000000
pbks10,Arshdeep Singh,Bowler,2,7,16,21.000000
pbks11,Mohammad Shami,Bowler,13,8,22,29.000000
rr01,Jos Buttler,Batsman,254,0,153,36.000000
rr02,David Miller,Batsman,102,0,128,34.000000
rr03,Sanju Samson,Batsman,277,0,146,46.000000
rr04,Shivam Dube,Batsman,145,0,118,24.000000
rr05,Riyan Parag,Batsman,78,1,144,20.000000
rr06,Rahul Tewatia,Batsman,86,2,128,17.000000
rr07,Mustafizur Rahman,Bowler,0,8,20,28.000000
rr08,Shreyas Gopal,Bowler,7,0,0,0.000000
rr09,Chris Morris,Bowler,48,14,11,16.000000
rr10,Jaydev Unadkat,Bowler,35,4,24,28.000000
rr11,Chetan Sakariya,Bowler,0,7,23,32.000000
rcb01,Devdutt Padikkal,Batsman,195,0,152,39.000000
rcb02,Virat Kohli,Batsman,198,0,121,33.000000
rcb03,AB de Villiers,Batsman,207,0,164,52.000000
rcb04,Glenn Maxwell,Batsman,223,0,145,37.000000
rcb05,Kyle Jamieson,Batsman,59,9,144,20.000000
rcb06,Washington Sundar,Batsman,31,3,66,8.000000
rcb07,Harshal Patel,Bowler,35,17,10,15.000000
rcb08,Shahbaz Ahmed,Bowler,23,4,8,8.000000
rcb09,Kane Richardson,Bowler,0,1,18,29.000000
rcb10,Yuzvendra Chahal,Bowler,8,4,35,48.000000
rcb11,Mohammed Siraj,Bowler,12,6,26,32.000000
srh01,David Warner,Batsman,193,0,110,32.000000
srh02,Jonny Bairstow,Batsman,248,0,142,41.000000
srh03,Manish Pandey,Batsman,193,0,124,48.000000
srh04,Kane Williamson,Batsman,128,0,127,128.000000
srh05,Vijay Shankar,Batsman,58,3,112,12.000000
srh06,Abdul Samad,Batsman,36,0,138,12.000000
srh07,Rashid Khan,Bowler,17,10,17,17.000000
srh08,Jason Holder,Bowler,4,3,8,10.000000
srh09,Khaleel Ahmed,Bowler,0,4,30,41.000000
srh10,Siddarth Kaul,Bowler,0,3,23,30.000000
srh11,Bhuvneshwar Kumar,Bowler,17,3,38,58.000000